unique_id,Painting,"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",Describe how this painting makes you feel.,This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,"If you could purchase this painting, which room would you put that painting in?","If you could view this art in person, who would you want to view it with?",What season does this art piece remind you of?,"If this painting was a food, what would be?",Imagine a soundtrack for this painting. Describe that soundtrack without naming any objects in the painting.
479,The Persistence of Memory,8,It makes me feel contemplative. ,4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,5,5,"I'm sure the painting is worth a lot, but I'm not a physical art collector so I don't spend much on paintings so probably at most 99 dollars (not considering how much it will actually be worth to other people who would want to buy it). ",Living room,By yourself,Fall,A childhood favorite that is not as good as you remembered it. ,It would be somber and vague and wavy. Maybe played as a violin solo.
480,The Persistence of Memory,3,It just feels kind of bizarre but I don't really think about it too much.,3 - Neutral/Unsure,3 - Neutral/Unsure,3 - Neutral/Unsure,2 - Disagree,4,5,0,Office,Friends,Summer,hotdog,I wouldn't imagine any particular soundtrack but instead the wind simply blowing.
481,The Persistence of Memory,8,The painting makes me feel worried about the future; it reminds me that my time is running out.,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,3,4,$100,Office,Family members,Fall,Ice cream,a sad and mellow tune
482,The Persistence of Memory,7,It makes me feel tired,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,4,6,300,Living room,By yourself,Summer,Ice cream,"It would be slow and somber, almost like a whisper."
483,The Persistence of Memory,5,Time is melting away and the feeling of disparity,4 - Agree,1 - Strongly disagree,2 - Disagree,3 - Neutral/Unsure,6,8,150,Bathroom,By yourself,Fall,tiramisu,a hot sizzle with a sombre melody playing with a tick tock sound getting slower throughout the whole song and stopping at the end
484,The Persistence of Memory,6,It makes me feel existential and somewhat sad about time going away,4 - Agree,1 - Strongly disagree,2 - Disagree,3 - Neutral/Unsure,3,3,100,"Office,Living room",By yourself,Summer,sourdough bread,"string based soundtrack, heavy on slow and clear violins"
485,The Persistence of Memory,9,It makes me feel like time is running out and that the time we once had is fading away,4 - Agree,1 - Strongly disagree,2 - Disagree,4 - Agree,2,4,150,Office,By yourself,"Spring,Fall",Mashed potatoes,Slow beating drums and with marching and clapping in rhythm with the drums
486,The Persistence of Memory,4,Slumped. Disorganized. Confused. ,4 - Agree,2 - Disagree,1 - Strongly disagree,4 - Agree,3,5,40,"Bathroom,Living room",Friends,"Fall,Winter",soggy noodles. ,"slow piano with frequent sad tones, or even confusing tones. maybe a badly played piano."
487,The Persistence of Memory,8,This painting makes me face reality. The items in the photo remind me of how life is not endless and there is one resource we are all running out of. Makes me want to cherish moments I have and to not really take this life for granted. Represents the sad reality that everything does come to an end and the solemn colors used heavily signify that. ,4 - Agree,2 - Disagree,4 - Agree,4 - Agree,12,5,"$1,000","Office,Living room","Family members,By yourself",Fall,"I believe the food would be broccoli that although the photo is sad to see as it reminds you the true reality of life, we also understand that it is a gentle reminder and doesn't mean any harm, only means good. This photo isn't purposefully trying to make you sad, it just reminds you about reality and how life works, just like broccoli. May not taste the best but eating it benefits your health, the same way seeing this painting may feel sad but is beneficial as it reminds you to do what you want in life since you will not be here forever. ","I imagine a classical song with a very repetitive tone that is sad but has some beauty to it in its sadness. I think of a song which makes you feel sad but not hopeless. A song that makes you realize the beauty of life. It is not all sunshine and rainbows, life has ups and downs and the reality may be heavy hitting but sometimes we need such a reality to understand what we truly want out of this life. "
488,The Persistence of Memory,7,"makes me feel that i'm losing time even though it shows clocks just hanging around all sloppy but because of that sloppiness of time and not being concrete and standing straight makes me feel like im wasting time even though im just doing productive things right now. also makes me feel uncomfortable of seeing such a stable thing being painted so lazy. with the sun feels like it's setting, it also adds to those feelings. like it's time to shut things down. makes me feel slow, lazy, a little relaxed but in an uncomfortable ay.",4 - Agree,2 - Disagree,2 - Disagree,5 - Strongly agree,10,9,200,Bathroom,"Coworkers/Classmates,Strangers","Fall,Winter","spaghetti

flatbread",it would have a slow violin with a slow piano accompanying it. starts off slow with the piano and then they speed up and go slow but the last slowness of the song lasts shorter than the first slowness part of the song. it would have classical instruments and be mellow.
489,The Persistence of Memory,5,It makes me feel worried about how little time I have.,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,7,5,10,Office,By yourself,Fall,Pumpkin pie.,Light drums combined with a slow metronome beat.
490,The Persistence of Memory,8,"This painting makes me feel like time is slipping, but it also creates a sense of discomfort and anxiety. It feels like a lot is wrong in the painting, although a lot of it feels familiar, in the sense that it is comprised of common objects like the clock. While it is very still and almost peaceful, it is a very uncomfortable feeling. ",4 - Agree,3 - Neutral/Unsure,3 - Neutral/Unsure,5 - Strongly agree,12,5,I would be willing to pay $150CAD for this painting. ,"Office,Living room","Friends,Strangers,By yourself","Spring,Fall","I would say something very mellow like cucumbers, as it doesn’t taste like much to someone who doesn’t like it but it is enjoyable to those who do like it. ","Calm, yet unsettling, primarily instrumental music with very mellow and quiet vocals. "
491,The Persistence of Memory,4,conscious,4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,6,9,"pancakes,",Bathroom,"Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Fall,$ 10 CAD,"low and consistent beat, like a metronome, "
492,The Persistence of Memory,4,Drowsy,4 - Agree,2 - Disagree,3 - Neutral/Unsure,3 - Neutral/Unsure,4,5,0,"Bathroom,Office","Strangers,By yourself",Fall,cold McDonald's fries,Cat's in the Cradle - Harry Chapin
493,The Persistence of Memory,7,It makes me feel nervous and sad.,4 - Agree,1 - Strongly disagree,2 - Disagree,4 - Agree,3,5,10,"Office,Living room","Friends,Family members,By yourself",Summer,fried egg,violin backing soundtrack with maybe a choir
494,The Persistence of Memory,8,The passage of time feels suffocating and tiring,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,8,10,"That depends, if I were a billionaire, probably 100 million, but because I'm not, probably $5000 max since I know how valuable this painting is. Otherwise, if this painting wasn't valuable, max $500.",Living room,"Friends,Family members,By yourself","Summer,Fall",Warm and gooey cheese,"Probably something slow and getting slower at certain points, with dark overtunes and loud atmospheric feelings."
495,The Persistence of Memory,6,"It makes me feel depressed, losing track of time, and still. ",4 - Agree,2 - Disagree,4 - Agree,3 - Neutral/Unsure,4,4,1000,Bathroom,By yourself,Fall,A plate of untouched cold macaroni. ,Still wind with some mechanical sounds randomly here and there. 
496,The Persistence of Memory,5,"uneasy, lonely, confused",4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,1,3,20,Office,Strangers,Fall,pizza,"slow, minimal, echoing"
497,The Persistence of Memory,6,"I feel dread, like I'm running out of time and all my memories will soon fade.",4 - Agree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,7,10,500000,Office,"Strangers,By yourself",Summer,A sleeping-pill infused gummy bear,A slow droning noise that slowly fades
498,The Persistence of Memory,6,cold,3 - Neutral/Unsure,2 - Disagree,4 - Agree,3 - Neutral/Unsure,3,5,50,"Bathroom,Living room","Friends,Family members",Fall,bread,egyptian desert sound
499,The Persistence of Memory,2,It makes me think about all the time melting away.,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,20,6,idk like 1 billion dollars,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Fall,Spaghetti ,"Time flies by, a slow banjo plays creepily."
500,The Persistence of Memory,7,"good, terrible",4 - Agree,3 - Neutral/Unsure,2 - Disagree,1 - Strongly disagree,3,4,5cad,Living room,Friends,Summer,cake,noise
501,The Persistence of Memory,8,"It makes me feel uncomfortable and it reminds me that time only goes forward, not backwards.",4 - Agree,2 - Disagree,3 - Neutral/Unsure,5 - Strongly agree,4,4,"500,000",Living room,By yourself,"Summer,Fall",A dark chocolate cake,"A sad, yet comforting violin tune"
502,The Persistence of Memory,7,"The painting makes me feel melancholic. The thoughts I get from the painting is something like the idea that time melts away, and soon it will be over or that the clock will soon evaporate.",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,3,5,20 bucks.,Bathroom,"Friends,Family members,By yourself",Winter,blue cheese.,creep - radiohead.
503,The Persistence of Memory,6,"time keep moving on, no one can be forever.",4 - Agree,3 - Neutral/Unsure,4 - Agree,4 - Agree,5,8,"it depends on how rich I am. free if I am poor, 1000$ if I am rich",Office,By yourself,Fall,fallen leaf,"I would use a part of a music.

""life is too long to end at grave"" 

or “May time stay at this moment, and may you and I never be separated.”"
504,The Persistence of Memory,8,Desolate,5 - Strongly agree,2 - Disagree,1 - Strongly disagree,4 - Agree,2,3,200,Office,Friends,Summer,Pear,Hall of the mountain king
505,The Persistence of Memory,8,It makes me feel anxious because I interpret the melting clocks as time running out.,5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,4,4,50,Office,By yourself,Winter,Cold Pizza,The soundtrack would be mellow and have whistling. It would also have an Egyptian theme.
506,The Persistence of Memory,3,I feel confused as to what is going on.,4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,1,5,0,Office,Strangers,Summer,crackers,metronome that progressively gets slower paired with a cello playing a low notes slowly.
507,The Persistence of Memory,6,"The painting makes me feel uneasy. The background is desolate and lacks feeling. The colours used are blue-toned and not exactly warm. ""Uncanny"" could also be another word used. The world within this painting feels unsafe.",5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,5,11,153 CAD,"Bathroom,Office",By yourself,Fall,Beef broth simmered and thickened with potato essence ,"The melody is a sad prolonged, horn that was recorded with a low quality microphone. A person listening can vaguely hear static and the song reminds them of how it represents a person with dementia."
508,The Persistence of Memory,8,"It made me feel heavy in a way. In the sense that I would never escape memories good or bad. Especially the clock laying on top of that body, that persistence and presence of time. Felt heavy.",4 - Agree,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,6,4,500,Office,By yourself,Fall,Cold pasta," slow, disorienting, and quietly unsettling, mirroring the way time seems to melt and lose meaning."
509,The Persistence of Memory,9,"Long, lost, timeless, inevitable, dry, yearning, empty, lost, melancholy.",5 - Strongly agree,2 - Disagree,2 - Disagree,5 - Strongly agree,5,7,10,Bathroom,Friends,"Spring,Fall","Overcooked spaghetti with little to no texture, with pasta sauce that didn't emulsify correctly.",Sounds like a slow melancholy melody that loops every 30 second in D minor.
510,The Persistence of Memory,7,Sad,4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,6,6,50,Office,"Friends,By yourself",Fall,Bread,A violin.
511,The Persistence of Memory,3,"It makes me feeling confused, with a sense of time decaying and slipping away.",4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,3,4,25000000 dollars,Living room,By yourself,Fall,Pears.,It feels like a chaotic piece of heavy  metal music but without drumbeats.
512,The Persistence of Memory,5,"the dull colors and visuals make for a dark atmosphere, almost sending chills down my spine.",3 - Neutral/Unsure,2 - Disagree,3 - Neutral/Unsure,4 - Agree,4,3,0,Bathroom,Strangers,Fall,soggy cereal,"It sounds like the album ""everywhere at the end of time"" which is really creepy."
513,The Persistence of Memory,7,"This painting evoked a quiet yet intense unease in me, as if time itself had suddenly lost its rigidity, leaving the world in a strange state of stillness. I struggled to discern the object in the center, but I felt it shouldn't exist in reality.",3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,6,6,100 dollars,Living room,By yourself,Fall,A cold dessert slowly melting in the desert,"An extremely slow, sparse piece of music, as if time has been stretched out, causing the sound to sink and distort. The overall rhythm is almost imperceptible. It's not that there's no rhythm, but rather that the rhythm is dragged out so long that you can't even count it before you forget when the last beat occurred. Emotionally, it's like a lucid daze. Listening to it, you don't want to follow along, nor do you want to escape; you're simply forced to stop."
514,The Persistence of Memory,3,"Exhausted. It feels like I am lying in a warm bathtub, relaxing myself. Time goes by somehow, but does not matter. It sometimes go fast and sometimes does not. ",2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,4,3,80,Bathroom,Family members,Summer,Melted cheese,"I can hear 'wake me up when September ends'. It is such a slow, sagging song. "
515,The Persistence of Memory,10,"This painting makes me feel relaxed and at odds with reality. More than a picture is expressed, I feel as though I can hear weird noises bouncing throughout the canvas.",4 - Agree,5 - Strongly agree,5 - Strongly agree,4 - Agree,13,7,$100,Dining room,"Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Fall,This painting would be a block of cheese.,"A soundtrack for this painting would be composed of millions of strange sounds, including sounds that have never been heard by humans before. It would hold rhythms that have never been heard before. The soundtrack would startle almost any listener."
516,The Persistence of Memory,8,"It makes me feel a little queasy, makes me think about my time, and how I use it everyday. How time is slipping and it feels like with every passing day, I am just watching myself work in autopilot. This makes me feel very reflective and a little concerned, like I have no control over my time despite trying to do whatever I can to make the most of it. ",4 - Agree,1 - Strongly disagree,2 - Disagree,4 - Agree,7,8,$20,Bedroom,By yourself,Fall,Tomato soup,"Very mellow soundtrack, has a violin playing in it and it sounds loud, but rhythmic and sentimental. "
517,The Persistence of Memory,6,This painting seems to try and make me feel that time comes for everyone and everything and all must fall. It makes me feel longing for more to see,2 - Disagree,1 - Strongly disagree,3 - Neutral/Unsure,1 - Strongly disagree,4,4,1,Bathroom,"Coworkers/Classmates,Strangers",Fall,plain melted cheese,soft blowing wind
518,The Persistence of Memory,7,"The painting makes me feel a bit anxious. Since the melting clocks signify that time is always passing, I feel as if I am currently not making the most out of my time.  ",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,5,5,$220.00,"Office,Living room",By yourself,Fall,Pizza.,"I imagine a western soundtrack. Something that is slow-paced and does not have any bassline. I also envision middle ranged notes that are spaced out between each other. Additionally, there are spaced out high notes that sound as if they came from a flute. "
519,The Persistence of Memory,5,"I feel confused because the painting doesn't make sense for the most part, but maybe that's the point",2 - Disagree,3 - Neutral/Unsure,4 - Agree,3 - Neutral/Unsure,6,3,"Max around a 100$, but I'm sure this painting is worth way more to artistic snobs",Office,By yourself,Fall,Rice,The soundtrack would convey emotions of confusion to the listener as the painting itself is supposed to represent that and maybe a bit of sadness in the tracks
520,The Persistence of Memory,7,"Time is an illusion and feels easy to throw away, like garbage after a beach party.",4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,4,5,90,Living room,Friends,Fall,croissant,"droning, low tones, liminal"
521,The Persistence of Memory,7,Droopy,4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,6,6,15,Bedroom,"Friends,Family members",Fall,lasagna,serene
522,The Persistence of Memory,7,"This painting made me feel as sense of dread and despair as the melting clock symbolize the fleeting moments of time passing by and how the darkness from the lower corner is creeping in. yet there still remain the cliff in the horizon and the shore still lit in the creping darkness, providing a sense of hope. ",4 - Agree,4 - Agree,2 - Disagree,4 - Agree,5,8,$500,Office,"Friends,Strangers,By yourself",Fall,borscht,"Fall Out Boy - Centuries

The song talks about being either being remembered or being forgotten and how you are in charge of how and if you are remembered."
523,The Persistence of Memory,7,"the painting makes me feel sadness and despair, and slightly uneasy.",3 - Neutral/Unsure,1 - Strongly disagree,3 - Neutral/Unsure,4 - Agree,7,6,$50,Bathroom,By yourself,Summer,burnt marshmallow,"The soundtrack would be slow and relaxed, with intermittent eerie sounds playing. It almost makes you want to fall asleep"
524,The Persistence of Memory,6,It makes me feel anxious about the time I spend and the value it holds.,4 - Agree,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,4,8,50,Office,"Friends,Family members,By yourself","Summer,Fall",Beef Jerky,"Slow, mellow organ with a constant ticking sound."
525,The Persistence of Memory,10,Anxious. The stress is not of time but what it will cost us to not take an action. All the clocks are a reminder that we are running out of enough time to do something. The anxiety of time running out leaves me empty.,4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,7,7,300,Office,By yourself,Fall,Coffee,Arabian Dance By Tchaikovsky - Slightly scary humming tune that would is calming yet eerie. 
526,The Persistence of Memory,8,"It makes me think of how even though time passes, our memories, whether happy or sad, remain and might forever be there. ",5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,4,4,60,Bedroom,By yourself,Winter,Cheese,"Maybe Another Time by Feng Suave. It reminds me of the feeling of time slipping by, yet one cannot do much about it. It is the sense of yearn that does it for me."
527,The Persistence of Memory,3,"Calm. The background is a calming scene with no clouds and no waves, muted colours and not too many focal points. Everything in the image looks to be in a resting state.",2 - Disagree,3 - Neutral/Unsure,4 - Agree,4 - Agree,7,9,40,Office,Family members,Fall,Stew,The soundtrack would overall be calm. The songs would not be too fast or too slow. The music would not be technically advanced but satisfying in that the individual songs and the ordering of those songs would flow logically.
528,The Persistence of Memory,7,The painting makes me feel powerless to the concept of time.,4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,5,4,$500,Office,By yourself,Summer,Milk,Low and somber sounds with the feeling of unendingness etched into the music.
529,The Persistence of Memory,8,"Since the clock and time are the main part of the painting, it somewhat gives me a sense of looming dread since it reminds me of deadlines, such as those for academics, workplace, or life in general. It also reminds me that we don't have infinite time, to treasure it with others when we can.",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,4,5,80,Office,"Friends,Family members,Coworkers/Classmates",Summer,"Something with melted cheese, as the drooping clocks reminds me of melted cheese. ","It would be a classical track that has the mood of a sombre funeral, with violins and piano being played in the background to remind you of the creeping time that will always tick by no matter what you do."
530,The Persistence of Memory,8,"Melancholic. Almost like the stage between two major emotions, such as grief and acceptance. ",5 - Strongly agree,4 - Agree,3 - Neutral/Unsure,4 - Agree,4,6,321,Bedroom,By yourself,Winter,"Stale tea left outside for a bit too long, making it cold.",Violins and bass.
531,The Persistence of Memory,9,"Surreal. 

This painting makes you realise how fluid and dynamic the world really is, based on our perspectives and consciousness. We try to build these rigid structures to make everything make sense, but in actuality, it is all very fragile, and none of these societal constructs really exist.",4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,6,8,30,"Bedroom,Office,Living room","Family members,Coworkers/Classmates,Strangers,By yourself",Winter,Porridge,"stoic, surreal, sombre, empty, flow"
532,The Persistence of Memory,4,This painting makes me feel like I should make good use of the time I have.,4 - Agree,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,6,4,60,"Bathroom,Office",By yourself,Fall,cold pasta,"orchestral, minor key. lots of string instruments."
533,The Persistence of Memory,6,"This painting makes me feel uneasy and anxious, since the presence of clocks and the darkness in the corner makes me feel as if time is running out until something bad happens. The sagging clocks add a dreamlike and surreal quality to the work, and distorts reality. ",5 - Strongly agree,2 - Disagree,4 - Agree,4 - Agree,4,4,100,Bedroom,By yourself,Summer,This painting would be an apple,"The soundtrack would be dreamy, surreal, and unsettling. "
534,The Persistence of Memory,5,makes me feel weird,1 - Strongly disagree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,2,5,0,Office,Coworkers/Classmates,Fall,cooked lamb piece,disorienting music
535,The Persistence of Memory,8.5,It makes me feel a sense of unease,5 - Strongly agree,3 - Neutral/Unsure,4 - Agree,5 - Strongly agree,7,7,40,"Bathroom,Office","Coworkers/Classmates,Strangers,By yourself",Summer,Salad,"That soundtrack sounds gloomy, has a slow tempo, and is low pitched."
536,The Persistence of Memory,10,"It feels like im in a dream, very unreal ",5 - Strongly agree,3 - Neutral/Unsure,5 - Strongly agree,5 - Strongly agree,4,3,$100,Office,Friends,Summer,kimchi,some dark music 
537,The Persistence of Memory,8,"It makes me feel sad and hopeless, as there seems to be a drought anda  lack of resources. ",5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,5,6,$5,Bathroom,By yourself,"Spring,Fall",beans,"mellow, sad, depressing"
538,The Persistence of Memory,6,the painting makes me feel a sense of sadness,4 - Agree,3 - Neutral/Unsure,2 - Disagree,4 - Agree,3,4,200,Bathroom,By yourself,Summer,hot dog,"A slow, sad type of sound track"
539,The Persistence of Memory,6,"Nostalgic, melancholic",2 - Disagree,2 - Disagree,3 - Neutral/Unsure,2 - Disagree,8,10,,Bedroom,Strangers,Summer,Oyster,Violin with a melancholic tone.
540,The Persistence of Memory,7,"it makes me feel uneasy, makes me also think of the limited time i have and how valuable it is.",4 - Agree,2 - Disagree,3 - Neutral/Unsure,5 - Strongly agree,4,5,$300,"Office,Living room,Dining room",By yourself,"Fall,Winter",bread,"a slow, sad soundtrack, primarily with a violin or a string instrument."
541,The Persistence of Memory,8,"This painting makes me feel melancholic, as though time has run out yet I still have much to do. ",5 - Strongly agree,2 - Disagree,2 - Disagree,4 - Agree,4,8,1000000,Office,Friends,Fall,stale bread,The soundtrack for this painting would be sombre classical music
542,The Persistence of Memory,7,Existential,4 - Agree,3 - Neutral/Unsure,2 - Disagree,4 - Agree,3,5,50,Office,"Friends,Family members,By yourself","Spring,Summer",Jell-O,"Eerie, slow, something not trying inherently to be scary but kinda comes off that way."
543,The Persistence of Memory,7,"The wilted and saggy clocks make me feel as if time has stopped in this irrelevant place in the planet. Similar to a feeling when no one shows up to a party. Where you can hear the dry air surrounding the POV. The ants on a funny orange thing don't really help the scene. They beg the question, ""is that all?"". A dead branch, bunch of ants, some type of animal hide in the sand. Perhaps the end is near, and even if it isn't, it's inevitable.",5 - Strongly agree,2 - Disagree,4 - Agree,4 - Agree,6,8,40,Office,By yourself,Fall,"Cheese that was warmed up, and then cooled off.",Old crackly cassette background music.
544,The Persistence of Memory,10,"It has a sad tune and like a tragedy, it makes me feel uncomfortable. ",5 - Strongly agree,3 - Neutral/Unsure,1 - Strongly disagree,5 - Strongly agree,7,8,8,Bathroom,Friends,Fall,Pizza ,A dark and slow-paced background music
545,The Persistence of Memory,4,"The vague feeling is hard to grasp, like time rushing by, leaving a sense of oppression.",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,4,4,30,Office,Coworkers/Classmates,Fall,sandwhich cookie,"The sound of the desert wind, the ticking of the clock"
546,The Persistence of Memory,7,This painting makes me feel eerie. I can almost hear a static noise resonate through the painting. It gives me a sense of unease. ,4 - Agree,1 - Strongly disagree,2 - Disagree,5 - Strongly agree,5,6,500,Living room,"Friends,Family members",Fall,Dry Pasta that is burnt,A low static hum
547,The Persistence of Memory,8,I feel scared cause everything is distorted but familiar at the same time,4 - Agree,2 - Disagree,1 - Strongly disagree,5 - Strongly agree,4,7,30 cad,Living room,By yourself,Fall,slop food (everything mixed together so you cant tell what the food even is),eery and scary sound track
548,The Persistence of Memory,8,Old and lack of liveliness,4 - Agree,1 - Strongly disagree,1 - Strongly disagree,4 - Agree,5,9,0,Bathroom,By yourself,Winter,Costco $1.50 hot dog,"***********************************************************************************************************************************************************************
Symphony No.3, Op.36 (1976) by Henryk Gorecki. This soundtrack portrays a gloomy atmosphere to the audience. It invokes a sense of loss/mourn as I listen to the piece.
***********************************************************************************************************************************************************************"
549,The Persistence of Memory,3,"This painting make me feel the physics in our world is important. 

This painting also make me feel the world is bizarre, I think it is the image that someone see when he take drugs. ",4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,2,6,-50,Bathroom,"Friends,Strangers,By yourself",Summer,goose,"soothing wave sound at the beach, but with jazz saxophone playing at the background"
550,The Persistence of Memory,3,nothing,4 - Agree,4 - Agree,4 - Agree,4 - Agree,3,4,67,Bathroom,By yourself,Fall,human foot,enter sandman
551,The Persistence of Memory,7,This painting makes me feel like time erodes everything. It makes me feel sorrowful.,4 - Agree,3 - Neutral/Unsure,2 - Disagree,4 - Agree,4,6,0,"Office,Living room","Friends,Strangers,By yourself","Spring,Fall",Roasted Duck,It makes me feel anxiety
552,The Persistence of Memory,5,emptiness and futility about our life,5 - Strongly agree,1 - Strongly disagree,1 - Strongly disagree,4 - Agree,5,5,5,Office,Strangers,Winter,Caviar,"A slow, sombre piece with a grand piano and a cello providing deep, low bass tones."
553,The Persistence of Memory,7,sentimental about the passage of time,5 - Strongly agree,1 - Strongly disagree,4 - Agree,4 - Agree,3,3,500,Living room,Family members,Fall,pizza,"slow, sad music"
554,The Persistence of Memory,6,"Existential, terrified, anticipation for something negative that's bound to happen.",4 - Agree,1 - Strongly disagree,1 - Strongly disagree,5 - Strongly agree,4,5,110,"Office,Living room",By yourself,Fall,Lentil soup,"A cinematic orchestra playing slow, dramatic tunes."
555,The Persistence of Memory,6,It makes me feel like time is dead,3 - Neutral/Unsure,2 - Disagree,4 - Agree,4 - Agree,4,5,200,Living room,Coworkers/Classmates,Summer,Rice,"It would be a calm, slow tune."
556,The Persistence of Memory,7,"Time is a concept created by humans that can make life feel slow and lethargic when you strictly follow a schedule which is shown by how the clocks are 'soggy'  and limp, washed up on the beach. It also showcases how time can be wasted away.",4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,6,5,20,Bathroom,"Coworkers/Classmates,Strangers,By yourself",Fall,Soggy burger,"Somber orchestra with no lyrics, focused on violins."
557,The Persistence of Memory,7,The painting makes me feel like time is slipping away,4 - Agree,3 - Neutral/Unsure,3 - Neutral/Unsure,4 - Agree,4,5,200,Bedroom,Strangers,Fall,Cinnamon roll,The soundtrack would be calm yet slightly and subtly disturbing
558,The Persistence of Memory,3,This painting makes me feel a tiny bit anxious because it reminds me that time is passing by and not stopping and a lot has been wasted.,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,4,3,$50,"Office,Living room","Friends,Family members,Coworkers/Classmates",Winter,peach,an old movie soundtrack with old tv audio quality
559,The Persistence of Memory,7,This painting makes me feel sad.,4 - Agree,3 - Neutral/Unsure,4 - Agree,4 - Agree,6,7,20,Dining room,Friends,Spring,Burrito,Soft piano soundtrack
560,The Persistence of Memory,2,"The painting makes me feel like that time goes to the end, and everything is dying and fade away.",4 - Agree,2 - Disagree,3 - Neutral/Unsure,4 - Agree,4,4,"25 dollars, pay for the effort of the artist. ",Bathroom,By yourself,Fall,It would be a melted chocolate after best before date and ,Start with the wind sound and gradually return to quiet.
561,The Persistence of Memory,7,It makes me feel sad and powerless,4 - Agree,2 - Disagree,2 - Disagree,4 - Agree,7,3,10,Office,"Friends,Coworkers/Classmates",Fall,sponge cake,In the court of the crimson king
562,The Persistence of Memory,8,"This painting makes me feel a little bit of sadness but also calm. I really like the depiction of the melting clocks, I think it speaks volume for the fluidity of time and the overall painting just looks very distorted. It feels like it's trying to say how time isn't really fixed/ ""solid"" and how we let it define our day to day and don't actually live in the moment.",4 - Agree,3 - Neutral/Unsure,4 - Agree,3 - Neutral/Unsure,9,10,40,"Living room,Dining room","Friends,Family members,By yourself","Spring,Fall",grilled cheese with chili,Something that has a lot of country music notes in it
222,The Starry Night,,,,,,,,,,,,,,
223,The Starry Night,,,,,,,,,,,,,,
224,The Starry Night,,,,,,,,,,,,,,
225,The Starry Night,3,,,,,,,,,,,,,
226,The Starry Night,,,,,,,,,,,,,,
227,The Starry Night,,,,,,,,,,,,,,
228,The Starry Night,7,Sad,5 - Strongly agree,5 - Strongly agree,5 - Strongly agree,2 - Disagree,3,3,25,"Bedroom,Living room",By yourself,Winter,Blueberry juice,Crickets chirping
229,The Starry Night,8,"This painting makes me feel in awe, like I’m looking at a beautiful night sky in real life. The art style isn’t realistic, but the thick brush strokes together form an enchanting skyline depiction, which makes me feel content by looking at it. ",2 - Disagree,5 - Strongly agree,4 - Agree,1 - Strongly disagree,2,2,200,"Bedroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,By yourself","Spring,Summer",Lamb kebab ,"The soundtrack for this painting would be a quiet, low-pitched piano melody. The tempo would start slow then progressively get faster before slowing down again. "
230,The Starry Night,3,Calm,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2,2,100,"Bedroom,Bathroom,Office,Living room,Dining room","Friends,Family members,Coworkers/Classmates,Strangers,By yourself",Summer,Vanilla pudding,"Peaceful nature noises, like wind and rain."
